Title,Accession number,Author,Author affiliation,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Publication date,Language,ISSN,ISBN13,DOI,Conference name,Conference date,Conference location,CODEN,Country of publication,Document type,Abstract,Number of references,Controlled/Subject terms,Uncontrolled terms,Classification code,IPC code,Treatment,Discipline,Database,Copyright,Data Provider
"HybVIO: Pushing the Limits of Real-time Visual-inertial Odometry","21647593","Seiskari, O. (1); Rantalankila, P. (1); Kannala, J. (1, 2); Ylilammi, J. (1); Rahtu, E. (1, 3); Solin, A. (1, 2) ","(1) Spectacular AI, Finland (2) Aalto University, Finland (3) Tampere University, Finland ","2022 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV)","","","IEEE","","","287-96","2022","English","","978-1-6654-0915-5","10.1109/WACV51458.2022.00036","2022 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV)","4-8 Jan. 2022","Waikoloa, HI, USA","","","Conference article (CA)","We present HybVIO, a novel hybrid approach for combining filtering-based visual-inertial odometry (VIO) with optimization-based SLAM. The core of our method is highly robust, independent VIO with improved IMU bias modeling, outlier rejection, stationarity detection, and feature track selection, which is adjustable to run on embedded hardware. Long-term consistency is achieved with a loosely-coupled SLAM module. In academic benchmarks, our solution yields excellent performance in all categories, especially in the real-time use case, where we outperform the current state-of-the-art. We also demonstrate the feasibility of VIO for vehicular tracking on consumer-grade hardware using a custom dataset, and show good performance in comparison to current commercial VISLAM alternatives.","0","distance measurement - filtering theory - object tracking - optimisation - robot vision - SLAM (robots)","HybVIO - real-time visual-inertial odometry - combining filtering-based visual-inertial odometry - optimization-based SLAM - independent VIO - improved IMU bias modeling - outlier rejection - stationarity detection - feature track selection - embedded hardware - long-term consistency - SLAM module - real-time use case - vehicular tracking - consumer-grade hardware","B6135 Optical, image and video signal processing - B6140B Filtering methods in signal processing - B0260 Optimisation techniques - C5260B Computer vision and image processing techniques - C1180 Optimisation techniques","G06T","Practical (PRA); Theoretical or Mathematical (THR)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2022, The Institution of Engineering and Technology","Engineering Village"
"I Am Not Afraid of the GPS Jammer: Resilient Navigation Via Signals of Opportunity in GPS-Denied Environments","21924733","Kassas, Z.M. (1); Khalife, J. (1); Abdallah, A.A. (1); Lee, C. (2) ","(1) University of California, Irvine, Irvine, CA 92697, United States (2) U.S. Air Force, Test Pilot School, Edwards AFB, CA 93524, United States ","IEEE Aerospace and Electronic Systems Magazine","IEEE Aerosp. Electron. Syst. Mag. (USA)","","IEEE","37","7","4-19","2022","English","1557-959X","","10.1109/MAES.2022.3154110","","","","IESMEA","USA","Journal article (JA)","I am not afraid of the GPS jammer, as long as there are ambient signals of opportunity (SOPs) to exploit in the environment. In environments where GPS signals are challenged (e.g., indoors and deep urban canyons) or denied (e.g., under jamming and spoofing attacks), SOPs could serve as an alternative positioning, navigation, and timing (PNT) source to GPS, and more generally, to global navigation satellite systems (GNSS). This article presents a radio simultaneous localization and mapping (radio SLAM) approach that enables the exploitation of SOPs for resilient and accurate PNT. Radio SLAM estimates the states of the navigator-mounted receiver simultaneously with the SOPs' states. Radio SLAM could produce an SOP-derived navigation solution in a standalone fashion or by fusing SOPs with sensors [e.g., inertial measurement unit (IMU), lidar, etc.], digital maps, and/or other signals (e.g., GNSS). This article presents the first published experimental results evaluating the efficacy of radio SLAM in a real GPS-denied environment. These experiments took place at Edwards Air Force Base, California, USA, during which GPS was intentionally jammed with jamming-to-signal ratio as high as 90 dB. This article evaluates the timing of two cellular long-term evolution (LTE) SOPs located in the jammed environment, showing timing stability over 95 min of GPS jamming. Moreover, the article presents navigation results showcasing a ground vehicle traversing a trajectory of about 5 km in 180 s in the GPS-jammed environment. The vehicle's GPS-IMU system drifted from the vehicle's ground truth trajectory, resulting in a position root mean-squared error (RMSE) of 238 m. In contrast, the radio SLAM approach with a single cellular LTE SOP whose position was poorly known (an initial uncertainty on the order of several kilometers) achieved a position RMSE of 32 m.","0","Global Positioning System - jamming - mean square error methods - radio receivers - SLAM (robots)","resilient navigation - ambient signals - GPS signals - deep urban canyons - global navigation satellite systems - GNSS - radio simultaneous localization - navigator-mounted receiver - jamming-to-signal ratio - long-term evolution SOPs - GPS-jammed environment - GPS-IMU system - radio SLAM approach - single cellular LTE SOP","B6250G Satellite communication systems - B6330 Radionavigation and direction finding - B0290F Interpolation and function approximation (numerical analysis) - B5230 Electromagnetic compatibility and interference - B6140 Signal processing and detection","G01S - H04B1/06 - H04B7/00 - H04B7/185 - H04K3/00 - G01S19/01","Practical (PRA)","Electrical/Electronic engineering (B)","Inspec","Copyright 2022, The Institution of Engineering and Technology","Engineering Village"
"Sparse Semantic Map-Based Monocular Localization in Traffic Scenes Using Learned 2D-3D Point-Line Correspondences","22089244","Chen, X. (1); Xue, J. (1); Pang, S. (1) ","(1) Xi'an Jiaotong University, China ","IEEE Robotics and Automation Letters","IEEE Robot. Autom. Lett. (USA)","","IEEE","7","4","11894-11901","2022","English","2377-3766","","10.1109/LRA.2022.3207800","","","","IRALC6","USA","Journal article (JA)","Vision-based localization in a prior map is of crucial importance for autonomous vehicles. Given a query image, the goal is to estimate the camera pose corresponding to the prior map, and the key is the registration problem of camera images within the map. While autonomous vehicles drive on the road under occlusion (e.g., car, bus, truck) and changing environment appearance (e.g., illumination changes, seasonal variation), existing approaches rely heavily on dense point descriptors at the feature level to solve the registration problem, entangling features with appearance and occlusion. As a result, they often fail to estimate the correct poses. To address these issues, we propose a sparse semantic map-based monocular localization method, which solves 2D-3D registration via a well-designed deep neural network. Given a sparse semantic map that consists of simplified elements (e.g., pole lines, traffic sign midpoints) with multiple semantic labels, the camera pose is then estimated by learning the corresponding features between the 2D semantic elements from the image and the 3D elements from the sparse semantic map. The proposed sparse semantic map-based localization approach is robust against occlusion and long-term appearance changes in the environments. Extensive experimental results show that the proposed method outperforms the state-of-the-art approaches.","47","cameras - computer vision - feature extraction - image registration - image retrieval - image segmentation - image sensors - learning (artificial intelligence) - medical image processing - mobile robots - neural nets - object detection - object recognition - pose estimation - robot vision - SLAM (robots)","traffic scenes - 2D-3D Point-Line Correspondences - vision-based localization - prior map - autonomous vehicles - query image - camera pose - registration problem - camera images - occlusion - environment appearance - illumination changes - dense point descriptors - feature level - correct poses - sparse semantic map-based monocular localization method - traffic sign midpoints - multiple semantic labels - corresponding features - 2D semantic elements - sparse semantic map-based localization approach - long-term appearance changes","A8770E Patient diagnostic methods and instrumentation - B6135 Optical, image and video signal processing - B6135E Image recognition - B7230G Image sensors - C5260B Computer vision and image processing techniques - C7250R Information retrieval techniques - C7330 Biology and medical computing - C3390C Mobile robots","G01N33/48 - G03B17/00 - G03B19/00 - G05D1/00 - G06K9/00 - G06T - H01L27/146 - H04N5/30 - G06N20/00 - G16B - G06F16/00","Practical (PRA); Theoretical or Mathematical (THR)","Physics (A); Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2022, The Institution of Engineering and Technology","Engineering Village"
"Planning on topological map using omnidirectional images and spherical CNNs","21542474","Taniguchi, A. (1); Sasaki, F. (1); Muroi, M. (1); Yamashina, R. (1) ","(1) Ricoh Company, Ltd., Japan ","Advanced Robotics","Adv. Robot. (UK)","","Taylor & Francis","36","3","153-66","2022","English","1568-5535","","10.1080/01691864.2021.1997641","","","","","UK","Journal article (JA)","Map building and path planning are essential for long-term visual navigation. Methods, such as semi-parametric topological memory (SPTM), use deep learning to build a topological map consisting of nodes sampled from an agent's past observations and edges generated by a neural network (NN) and perform path planning on the map. Such methods require neither accurate sensor nor advanced expertise for map building needed in classical metric-map-based techniques such as visual simultaneous localization and mapping. However, they often plan improper paths including teleportations and detours, even if we have collected enough training data. In this paper, we propose a topological-map-based planning method that includes two modifications to SPTM to address this problem. The first modification is that we observe omnidirectional images and construct an NN on the basis of spherical convolutional NNs, which guarantee rotation invariance on omnidirectional images. The second modification is that we train the NN on a metric learning framework. We conducted experiments to show the effectiveness and applicability to real world of our method for path planning in visual navigation. The results indicate that the first modification prevents detouring and the second one prevents teleportations in path planning.","33","learning (artificial intelligence) - mobile robots - neural nets - path planning - robot vision - SLAM (robots) - topology","map building - path planning - long-term visual navigation - semiparametric topological memory - SPTM - topological map - NN - accurate sensor nor advanced expertise - classical metric-map-based techniques - visual simultaneous localization - improper paths - topological-map-based planning - omnidirectional images","B6135 Optical, image and video signal processing - C5260B Computer vision and image processing techniques - C1160 Combinatorial mathematics - C3120C Spatial variables control - C3390C Mobile robots","G05D1/00 - G05D3/00 - G06T - B60W30/095 - G06N20/00","Practical (PRA)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2022, The Institution of Engineering and Technology","Engineering Village"
"Feature Based Multi-Hypothesis Map Representation for Localization in Non-Static Environments","21989442","Nielsen, K. (1, 2); Hendeby, G. (2) ","(1) Epiroc Rock Drills AB, Sweden (2) Linkoping University, Dept. Electrical Engineering, Sweden ","2022 25th International Conference on Information Fusion (FUSION)","","William Demant Foundation;Linko¨ping City;SAAB;Mitsubishi Electric Research Laboratories (MERL);Ericsson;Metron;Verizon;Nordic Inertial;UMS Skeldar;ACTIA Nordic;Arriver;NIRA Dynamics","IEEE","","","8 pp.","2022","English","","978-1-7377497-2-1","","2022 25th International Conference on Information Fusion (FUSION)","4-7 July 2022","Linkoping, Sweden","","","Conference article (CA)","Long-term autonomy of robots requires localization in an inevitably changing environment, where the robots' knowledge about the surroundings are more or less uncertain. Inspired by methods in target tracking, this paper proposes a feature based multi-hypothesis map representation to provide robust localization under these conditions. It is derived how this representation can be used to obtain consistent position estimates while at the same time providing up-to-date map information to be shared by cooperative robots or for visual presentation. Simulations are performed that conceptually highlights the benefit of the developed solution in an environment where uniquely identifiable landmarks are moved between discrete positions. This relates to a real world scenario where a robot moves in a corridor with office doors opened or closed at different times.",,"mobile robots - multi-robot systems - path planning - position control - robot vision - target tracking","feature based multihypothesis map representation - nonstatic environments - long-term autonomy - inevitably changing environment - robots - target tracking - robust localization - consistent position estimates - up-to-date map information","C5260B Computer vision and image processing techniques - C3120C Spatial variables control - C3390C Mobile robots","G05D1/00 - G05D3/00 - G06T - B60W30/095","Practical (PRA)","Computers/Control engineering (C)","Inspec","Copyright 2022, The Institution of Engineering and Technology","Engineering Village"
"Appearance-Based Loop Closure Detection via Locality-Driven Accurate Motion Field Learning","21664770","Kaining Zhang (1); Xingyu Jiang (1); Jiayi Ma (1) ","(1) Wuhan University, School of Electronic Information, China ","IEEE Transactions on Intelligent Transportation Systems","IEEE Trans. Intell. Transp. Syst. (USA)","","IEEE","23","3","2350-65","2022","English","1558-0016","","10.1109/TITS.2021.3086822","","","","ITISFG","USA","Journal article (JA)","Loop closure detection (LCD) is of significant importance in simultaneous localization and mapping. It represents the robot's ability to recognize whether the current surrounding corresponds to a previously observed one. In this paper, we conduct this task in a two-step strategy: candidate frame selection and loop closure verification. The first step aims to search semantically similar images for the query one using features obtained by Key.Net with HardNet. Instead of adopting the traditional Bag-of-Words strategy, we utilize the aggregated selective match kernel to calculate the similarity between images. Subsequently, based on the potential property of motion field in the LCD scene, we propose a novel feature matching method, i.e., exploiting the smoothness prior and learning the motion field for an image pair in a reproducing kernel Hilbert space (RKHS), to implement loop closure verification. Concretely, we formulate the learning problem into a Bayesian framework with latent variables indicating the true/false correspondences and a mixture model accounting for the distribution of data. Furthermore, we propose a locality-driven mechanism to enhance the local relevance of motion vectors and term the algorithm as locality-driven accurate motion field learning (LAL). To satisfy the requirement of efficiency in the LCD task, we use a sparse approximation and search a suboptimal solution for the motion field in the RKHS, termed as LAL*. Extensive experiments are conducted on public datasets for feature matching and LCD tasks. The quantitative results demonstrate the effectiveness of our method over the current state-of-the-art, meanwhile showing its potential for long-term visual localization. The codes of LAL and LAL* are publicly available at https://github.com/KN-Zhang/LAL.","64","Bayes methods - feature extraction - Hilbert spaces - image enhancement - image matching - image motion analysis - learning (artificial intelligence) - mixture models - query processing - robot vision - search problems - SLAM (robots) - smoothing methods","simultaneous localization and mapping - RKHS - reproducing kernel Hilbert space - frame selection verification - long-term visual localization - LCD task - motion vectors - locality-driven mechanism - feature matching method - aggregated selective match kernel - Bag-of-Words strategy - semantically similar images - loop closure verification - locality-driven accurate motion field learning - appearance-based loop closure detection","B6135E Image recognition - B0240Z Other topics in statistics - B0260 Optimisation techniques - C5260B Computer vision and image processing techniques - C1180 Optimisation techniques - C1140Z Other topics in statistics - C6260 ","G06T - G06T5/00 - G06T7/20 - G06N20/00","Bibliography (BIB); Practical (PRA); Theoretical or Mathematical (THR)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2022, The Institution of Engineering and Technology","Engineering Village"
"A LiDAR-based single-shot global localization solution using a cross-section shape context descriptor","21897189","Xu, D. (1); Liu, J. (1, 2); Liang, Y. (1); Lv, X. (1); Hyyppä, J. (2) ","(1) Wuhan University, State Key Laboratory of Information Engineering in Surveying, Mapping and Remote Sensing, China (2) Finnish Geospatial Research Institute, Department of Remote Sensing and Photogrammetry, Finland ","ISPRS Journal of Photogrammetry and Remote Sensing","ISPRS J. Photogramm. Remote Sens. (Netherlands)","","Elsevier B.V.","189","","272-88","2022","English","1872-8235","","10.1016/j.isprsjprs.2022.05.005","","","","IRSEE9","Netherlands","Journal article (JA)","Fusing LiDAR and high definition (HD) maps is a feasible way to achieve global localization in GNSS-denied environments, which is necessary in driverless vehicle and robotic technologies. This paper proposes a single-shot global localization solution that uses only a single current scan of a rotating multiple-beam LiDAR sensor to locate its own location and pose with respect to an HD map in the form of georeferenced point clouds. This single-shot global localization solution estimates the state of the current moment without the previous moment state and thus avoids the nonconvergence problems that plague filter-based methods. The proposed solution allows HD maps from diverse LiDAR sensors to be used for global localization and is more robust than existing methods. The proposed solution consists of two procedures: offline preprocessing and online global localization. In the offline procedure, diverse HD maps are preprocessed to construct a global prior map for the localization process. The online global localization procedure includes two elements: place recognition, location and pose estimation. A novel Cross-Section Shape Context (CSSC) descriptor that is highly descriptive and rotation-invariant is proposed for subsequent processes. Two strategies, two-stage similarity estimation and Nearest Cluster Distance Ratio (NCDR), based on the CSSC descriptor are proposed to improve place recognition precision. A Selective Generalized Iterative Closest Point (SGICP) algorithm is proposed to calculate location and pose accurately using the CSSC descriptor. Comprehensive experiments were performed to evaluate this solution. A comparison of the precision-recall curve of multiple scenes, particularly under changed viewpoint scenes, shows that the CSSC descriptor is more robust than existing descriptors. Experimental analysis also confirms that the proposed strategies, two-stage similarity estimation and NCDR, improve place recognition precision. Also, compared to the generalized iterative closest point algorithm, the SGICP algorithm achieved better accuracy by 31% and efficiency by 60%. The proposed solution achieves a mean relative translation error (RTE) improvement of 27% over the OneShot algorithm on the KITTI dataset. The proposed solution had an average 77% improvement over 1σ RTE relative to the benchmark in tests with the long-term localization NCLT dataset. The mean RTE of the proposed solution was 0.13 m using HD maps from different LiDAR sensors. Our code is available at: https://github.com/Dongxu05/CSSC. All rights reserved Elsevier.","43","feature extraction - image matching - image registration - iterative methods - medical image processing - mobile robots - object detection - optical radar - pose estimation - remote sensing by laser beam - robot vision - SLAM (robots)","LiDAR-based - global localization solution - high definition maps - single current scan - rotating multiple-beam LiDAR sensor - HD map - diverse LiDAR sensors - diverse HD maps - global prior map - localization process - online global localization procedure - novel Cross-Section Shape Context descriptor - two-stage similarity estimation - CSSC descriptor - place recognition precision - Selective Generalized Iterative Closest Point algorithm - long-term localization NCLT dataset - different LiDAR sensors - size 0.13 m","A8770E Patient diagnostic methods and instrumentation - B6135 Optical, image and video signal processing - B6135E Image recognition - B6320C Optical radar - C5260B Computer vision and image processing techniques - C7330 Biology and medical computing - C3390C Mobile robots - C4130 Interpolation and function approximation (numerical analysis)","G01N33/48 - G01S17/00 - G05D1/00 - G06K9/00 - G06T - G16B","Practical (PRA); Theoretical or Mathematical (THR)","Physics (A); Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2022, The Institution of Engineering and Technology","Engineering Village"
"A Lightweight Feature Map Creation Method for Intelligent Vehicle Localization in Urban Road Environments","21797377","Cai, Y. (1); Lu, Z. (1); Wang, H. (1); Chen, L. (1); Li, Y. (1) ","(1) Jiangsu University, Automotive Engineering Research Institute, China ","IEEE Transactions on Instrumentation and Measurement","IEEE Trans. Instrum. Meas. (USA)","","IEEE","71","","8503115 (15 pp.)","2022","English","1557-9662","","10.1109/TIM.2022.3181903","","","","IEIMAO","USA","Journal article (JA)","Accurate and reliable localization in urban environments is critical for high-level autonomous driving systems. In comparison to other localization strategies, map-based methods are more reliable and have higher localization accuracy. However, due to higher storage and update costs, dense map-based localization methods are inefficient for widespread use. In urban road environments, structural features, such as road curbs that limit the road passable area, and pole-like features, such as streetlights, tree trunks, and traffic lights, exhibit exceptional long-term stability and extraction consistency. The maps based on road curbs and pole-like features are unaffected by dynamic obstacles, such as vehicles and pedestrians, making them ideal for vehicle localization in urban environments. In this article, we design a lightweight feature map for LiDAR localization in urban environments based on road curbs and pole-like features, and propose a novel, fast, and accurate extraction strategy for these features, implementing the entire pipeline of feature extraction, map construction, and localization. We combine the orderliness of 2-D range images with the spatial properties of 3-D point clouds to extract road curbs and poles quickly and accurately. The proposed feature extraction methods and localization system are evaluated on datasets collected in multiple environments and times. The experimental results demonstrate that the method proposed in this article is more efficient and robust at features' extraction and vehicle localization compared with other state-of-the-art approaches.","41","feature extraction - mobile robots - object detection - optical radar - road vehicles - roads - robot vision - traffic engineering computing","lightweight feature map creation method - intelligent vehicle localization - urban road environments - reliable localization - urban environments - high-level autonomous driving systems - localization strategies - map-based methods - higher localization accuracy - higher storage - update costs - dense map-based localization methods - structural features - road curbs - road passable area - pole-like features - vehicles - pedestrians - LiDAR localization - accurate extraction strategy - map construction - feature extraction methods - localization system - multiple environments","B6135 Optical, image and video signal processing - B6320C Optical radar - C5260B Computer vision and image processing techniques - C7445 Traffic engineering computing - C1140Z Other topics in statistics - C3390C Mobile robots","G01S17/00 - G05D1/00 - G06T","Practical (PRA); Theoretical or Mathematical (THR)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2022, The Institution of Engineering and Technology","Engineering Village"
"Efficient Large-scale Localization by Global Instance Recognition","22094672","Xue, F. (1); Budvytis, I. (1); Reino, D.O. (2); Cipolla, R. (1) ","(1) University of Cambridge, United Kingdom (2) Toyota Motor Europe, Belgium ","2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","","","IEEE","","","17327-17336","2022","English","","978-1-6654-6946-3","10.1109/CVPR52688.2022.01683","2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","18-19 June 2022","New Orleans, LA, USA","","","Conference article (CA)","Hierarchical frameworks consisting of both coarse and fine localization are often used as the standard pipeline for large-scale visual localization. Despite their promising performance in simple environments, they still suffer from low efficiency and accuracy in large-scale scenes, especially under challenging conditions. In this paper, we propose an efficient and accurate large-scale localization framework based on the recognition of buildings, which are not only discriminative for coarse localization but also robust for fine localization. Specifically, we assign each building instance a global ID and perform pixel-wise recognition of these global instances in the localization process. For coarse localization, we employ an efficient reference search strategy to find candidates progressively from the local map observing recognized instances instead of the whole database. For fine localization, predicted labels are further used for instance-wise feature detection and matching, allowing our model to focus on fewer but more robust keypoints for establishing correspondences. The experiments in long-term large-scale localization datasets including Aachen and RobotCar-Seasons demonstrate that our method outperforms previous approaches consistently in terms of both efficiency and accuracy.","67","database indexing - feature extraction - image classification - image representation - image retrieval - object recognition - SLAM (robots) - visual databases","recognized instances - fine localization - instance-wise feature detection - large-scale localization datasets - efficient large-scale localization - global instance recognition - hierarchical frameworks - large-scale visual localization - large-scale scenes - large-scale localization framework - coarse localization - building instance - global ID - pixel-wise recognition - global instances - localization process - efficient reference search strategy - local map","B6135 Optical, image and video signal processing - B6135E Image recognition - C5260B Computer vision and image processing techniques - C7250R Information retrieval techniques - C6160S Spatial and pictorial databases","G06T - G06F16/00","Practical (PRA); Theoretical or Mathematical (THR)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2022, The Institution of Engineering and Technology","Engineering Village"
"PlaneLoc2: Indoor Global Localization Using Planar Segments and Passive Stereo Camera","21846889","Wietrzykowski, J. (1) ","(1) Poznan University of Technology, Institute of Robotics and Machine Intelligence, Poland ","IEEE Access","IEEE Access (USA)","","IEEE","10","","67219-67229","2022","English","2169-3536","","10.1109/ACCESS.2022.3185732","","","","IAECCG","USA","Journal article (JA)","This paper introduces PlaneLoc2 - a novel indoor global localization system designed to harness the potential of stereo cameras. A need for robust global localization that does not produce incorrect results (false positives) is present in almost every life-long autonomy task. We show that planar segments extracted from stereo vision data by a neural network enable such robust localization. Planar segments are easier to discriminate than keypoint features and provide easy-to-use geometric constraints. We propose an architecture that exploits a single deep neural network (DNN) to detect planar segments, produce appearance descriptors, and estimate segment geometry. Moreover, we introduce a novel view-based segment map and a novel pose retrieval procedure that considers the uncertainty of features to efficiently use the geometric constraints provided by them. We also show that the new learned descriptor provides better discrimination than the hand-crafted one. Finally, we present experimental results that show that our solution outperforms other state-of-the-art global localization methods and does not produce incorrect agent poses. For both test scenes it recognizes at least 15% more poses than the second best method without incorrect recognitions.",,"cameras - feature extraction - image segmentation - learning (artificial intelligence) - mobile robots - neural nets - pose estimation - robot vision - stereo image processing","planar segments - geometric constraints - single deep neural network - estimate segment geometry - novel view-based segment map - state-of-the-art global localization methods - PlaneLoc2 - passive stereo camera - novel indoor global localization system - stereo cameras - robust global localization - life-long autonomy task - stereo vision data - robust localization","B6135 Optical, image and video signal processing - B6135E Image recognition - C5260B Computer vision and image processing techniques - C3390C Mobile robots","G03B17/00 - G03B19/00 - G05D1/00 - G06K9/00 - G06T - H04N13/00 - G06N20/00","Practical (PRA); Theoretical or Mathematical (THR)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2022, The Institution of Engineering and Technology","Engineering Village"
"PSE-Match: A Viewpoint-Free Place Recognition Method With Parallel Semantic Embedding","21953985","Yin, P. (1); Xu, L. (1); Feng, Z. (2); Egorov, A. (3); Li, B. (2) ","(1) Carnegie Mellon University, Robotics Institute, Pittsburgh, PA 15213, United States (2) Clemson University, Department of Automotive Engineering, Greenville, SC 29607, United States (3) Skolkovo Institute of Science and Technology, Russia ","IEEE Transactions on Intelligent Transportation Systems","IEEE Trans. Intell. Transp. Syst. (USA)","","IEEE","23","8","11249-11260","2022","English","1558-0016","","10.1109/TITS.2021.3102429","","","","ITISFG","USA","Journal article (JA)","Accurate localization on the autonomous driving cars is essential for autonomy and driving safety, especially for complex urban streets and search-and-rescue subterranean environments where high-accurate GPS is not available. However current odometry estimation may introduce the drifting problems in long-term navigation without robust global localization. The main challenges involve scene divergence under the interference of dynamic environments and effective perception of observation and object layout variance from different viewpoints. To tackle these challenges, we present PSE-Match, a viewpoint-free place recognition method based on parallel semantic analysis of isolated semantic attributes from 3D point-cloud models. Compared with the original point cloud, the observed variance of semantic attributes is smaller. PSE-Match incorporates a divergence place learning network to capture different semantic attributes parallelly through the spherical harmonics domain. Using both existing benchmark datasets and two in-field collected datasets, our experiments show that the proposed method achieves above 70% average recall with top one retrieval and above 95% average recall with top ten retrieval cases. And PSE-Match has also demonstrated an obvious generalization ability with limited training dataset.",,"distance measurement - feature extraction - Global Positioning System - image matching - image recognition - learning (artificial intelligence) - mobile robots - object detection - object recognition - path planning - pose estimation - robot vision - SLAM (robots) - traffic engineering computing","viewpoint-free place recognition method - parallel semantic analysis - isolated semantic attributes - 3D point-cloud models - original point cloud - observed variance - PSE-Match - divergence place - different semantic attributes - autonomous driving cars - driving safety - -rescue subterranean environments - high-accurate GPS - current odometry estimation - long-term navigation - robust global localization - dynamic environments - object layout variance","B6135 Optical, image and video signal processing - B6135E Image recognition - C5260B Computer vision and image processing techniques - C7445 Traffic engineering computing - C1140Z Other topics in statistics - C3120C Spatial variables control - C3390C Mobile robots","G05D1/00 - G05D3/00 - G06K9/00 - G06T - B60W30/095 - G01S19/01 - G06N20/00","Practical (PRA); Theoretical or Mathematical (THR)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2022, The Institution of Engineering and Technology","Engineering Village"
"Topographical Landmarks for Ground-Level Terrain Relative Navigation on Mars","21955831","Hook, J.V. (1); Schwartz, R. (1); Ebadi, K. (1); Coble, K. (1); Padgett, C. (1) ","(1) California Institute of Technology, NASA Jet Propulsion Laboratory, Pasadena, CA 91109, United States ","2022 IEEE Aerospace Conference (AERO)","","","IEEE","","","6 pp.","2022","English","","978-1-6654-3760-8","10.1109/AERO53065.2022.9843350","2022 IEEE Aerospace Conference (AERO)","5-12 March 2022","Big Sky, MT, USA","","","Conference article (CA)","Many of the tasks planned for future generation Mars rovers rely heavily on having accurate knowledge of the rover's location in a Martian body-fixed coordinate system. Current solutions for localization require regular human intervention in order to detect and rectify drift, and thus stand to benefit from systems that can run in real-time on the rover itself. We study the feasibility and performance of an automated approach to localization in which the rover makes bearing-only measurements to geographic features in its surroundings (hills, boulders, peaked ridge-lines, etc.). When the location of these landmarks can be cross-referenced with a map of Mars, the resulting solution will be globally registered and will help correct any drift during visual-odometry-aided drives. This paper studies two related problems: First, how can we locate geographic features that the rover can feasibly see, when provided an elevation map of the surrounding terrain? We provide a software tool that can extract features from elevation maps for comparison to imagery. However, once these landmarks are identified, it is not obvious if a given path for the rover will contain sufficient features to navigate autonomously. Accuracy will depend on the quantity, range, and relative geometry of landmarks that are available. Thus, the second contribution is to provide a GIS plugin that analyzes the terrain informativeness of large operating areas as well as more specific paths. We present an analysis of Jezero Crater in which Perseverance's Navcam is used as the hypothetical sensor. In certain favorable regions, worst-case localization accuracy in the 10 meter range is achieved from a single set of measurements (comparable to GPS on Earth). The map overlays generated by this analysis have the potential to aid in long-term mission planning by highlighting broad areas of high or low informativeness. These tools are computationally efficient and will be made open source to allow Mars mission planners, formulation studies, and rover drivers to plan for any future image-based self-localization capability.","0","distance measurement - feature extraction - geographic information systems - geometry - Global Positioning System - Mars - mobile robots - path planning - planetary rovers - robot vision","Martian body-fixed coordinate system - regular human intervention - geographic features - peaked ridge-lines - visual-odometry-aided drives - elevation map - relative geometry - terrain informativeness - worst-case localization accuracy - Mars mission planners - rover drivers - topographical landmarks - ground-level terrain relative navigation - image-based self-localization capability - generation Mars rovers - GIS plugin - hypothetical sensor - long-term mission planning","B6330 Radionavigation and direction finding - B0250 Combinatorial mathematics - B7320C Spatial variables measurement - B6135 Optical, image and video signal processing - C3360L Aerospace control - C3390C Mobile robots - C5260B Computer vision and image processing techniques - C7840 Geography and cartography computing - C1160 Combinatorial mathematics - C3120C Spatial variables control","G01B - G01S - G05D1/00 - G05D3/00 - G06T - B60W30/095 - G01S19/01 - B64G1/16","Practical (PRA); Theoretical or Mathematical (THR)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2022, The Institution of Engineering and Technology","Engineering Village"
